ciao,cześć
buongiorno,dzień dobry
buonasera,dobry wieczór
arrivederci,do widzenia
grazie,dziękuję
prego,proszę
scusa,przepraszam
sì,tak
no,nie
forse,może
bene,dobrze
male,źle
molto,bardzo
poco,mało
sempre,zawsze
mai,nigdy
oggi,dzisiaj
domani,jutro
ieri,wczoraj
ora,teraz
io,ja
tu,ty
lui,on
lei,ona
noi,my
voi,wy
loro,oni
uomo,mężczyzna
donna,kobieta
bambino,dziecko
amico,przyjaciel
famiglia,rodzina
madre,matka
padre,ojciec
fratello,brat
sorella,siostra
casa,dom
stanza,pokój
cucina,kuchnia
bagno,łazienka
porta,drzwi
finestra,okno
tavolo,stół
sedia,krzesło
letto,łóżko
macchina,samochód
treno,pociąg
autobus,autobus
strada,droga
città,miasto
paese,kraj
mare,morze
montagna,góra
sole,słońce
pioggia,deszcz
vento,wiatr
acqua,woda
fuoco,ogień
terra,ziemia
pane,chleb
latte,mleko
caffè,kawa
vino,wino
birra,piwo
mela,jabłko
banana,banan
carne,mięso
pesce,ryba
formaggio,ser
riso,ryż
pasta,makaron
sale,sól
zucchero,cukier
mangiare,jeść
bere,pić
dormire,spać
parlare,mówić
ascoltare,słuchać
vedere,widzieć
guardare,oglądać
leggere,czytać
scrivere,pisać
andare,iść
venire,przychodzić
fare,robić
avere,mieć
essere,być
volere,chcieć
potere,móc
dovere,musieć
sapere,wiedzieć
bello,ładny
brutto,brzydki
grande,duży
piccolo,mały
nuovo,nowy
vecchio,stary
buono,dobry
cattivo,zły
veloce,szybki
lento,wolny
caldo,ciepły
freddo,zimny
facile,łatwy
difficile,trudny
importante,ważny
possibile,możliwy
impossibile,niemożliwy
felice,szczęśliwy
triste,smutny
stanco,zmęczony
forte,silny
debole,słaby
ricco,bogaty
povero,biedny
giovane,młody
anziano,starszy
alto,wysoki
basso,niski
lungo,długi
corto,krótki
largo,szeroki
stretto,wąski
pulito,czysty
sporco,brudny
pieno,pełny
vuoto,pusty
aperto,otwarty
chiuso,zamknięty
primo,pierwszy
ultimo,ostatni
uno,jeden
due,dwa
tre,trzy
quattro,cztery
cinque,pięć
sei,sześć
sette,siedem
otto,osiem
nove,dziewięć
dieci,dziesięć
cento,sto
mille,tysiąc
giorno,dzień
notte,noc
mattina,rano
pomeriggio,popołudnie
sera,wieczór
settimana,tydzień
mese,miesiąc
anno,rok
tempo,czas
momento,chwila
volta,raz
luogo,miejsce
posto,miejsce
nome,imię
cognome,nazwisko
indirizzo,adres
numero,numer
telefono,telefon
email,email
soldi,pieniądze
prezzo,cena
carta,karta
contanti,gotówka
negozio,sklep
mercato,targ
ristorante,restauracja
bar,kawiarnia/bar
hotel,hotel
camera,pokój
chiave,klucz
biglietto,bilet
viaggio,podróż
vacanza,urlop
mare,plaża/morze
spiaggia,plaża
montagna,góra
bosco,las
fiume,rzeka
lago,jezioro
isola,wyspa
cielo,niebo
nuvola,chmura
aria,powietrze
natura,natura
animale,zwierzę
cane,pies
gatto,kot
uccello,ptak
cavallo,koń
topo,mysz
testa,głowa
capelli,włosy
occhio,oko
orecchio,ucho
naso,nos
bocca,usta
mano,ręka
piede,stopa
gamba,noga
braccio,ramię
dito,palec
faccia,twarz
dente,ząb
lingua,język
pelle,skóra
sangue,krew
cuore,serce
mente,umysł
salute,zdrowie
malattia,choroba
medico,lekarz
ospedale,szpital
farmacia,apteka
medicina,lekarstwo
dolore,ból
febbre,gorączka
aiuto,pomoc
problema,problem
soluzione,rozwiązanie
domanda,pytanie
risposta,odpowiedź
idea,pomysł
pensiero,myśl
parola,słowo
frase,zdanie
lingua,język
voce,głos
suono,dźwięk
musica,muzyka
canzone,piosenka
film,film
foto,zdjęcie
immagine,obraz
libro,książka
pagina,strona
penna,długopis
carta,papier
computer,komputer
telefono,telefon
schermo,ekran
internet,internet
messaggio,wiadomość
lettera,list
giornale,gazeta
notizia,wiadomość
storia,historia
scienza,nauka
arte,sztuka
lavoro,praca
ufficio,biuro
azienda,firma
collega,kolega z pracy
capo,szef
cliente,klient
cliente,klientka
soldato,żołnierz
polizia,policja
giudice,sędzia
avvocato,prawnik
insegnante,nauczyciel
studente,uczeń/student
lezione,lekcja
scuola,szkoła
università,uniwersytet
esame,egzamin
libertà,wolność
amore,miłość
amicizia,przyjaźń
paura,strach
felicità,szczęście
rabbia,złość
sorpresa,niespodzianka
sogno,sen/marzenie
vita,życie
morte,śmierć
inizio,początek
fine,koniec
parte,część
tutto,wszystko
niente,nic
qualcosa,coś
persona,osoba
gente,ludzie
mondo,świat
paese,kraj
regione,region
cittadino,obywatel
cultura,kultura
tradizione,tradycja
festa,święto/impreza
regalo,prezent
gioco,gra
sport,sport
calcio,piłka nożna
nuoto,pływanie
corsa,bieg
palla,piłka
squadra,drużyna
gara,zawody
vittoria,zwycięstwo
perdita,przegrana
allenamento,trening
giocatore,zawodnik
allenatore,trener
correre,biegać
camminare,spacerować
saltare,skakać
sedersi,siadać
alzarsi,wstawać
aprire,otwierać
chiudere,zamykać
entrare,wejść
uscire,wyjść
arrivare,przyjechać/przybyć
partire,wyjechać
tornare,wrócić
restare,zostać
vivere,żyć
morire,umrzeć
iniziare,zaczynać
finire,kończyć
continuare,kontynuować
cambiare,zmieniać
scegliere,wybierać
usare,używać
comprare,kupować
vendere,sprzedawać
pagare,płacić
costare,kosztować
cercare,szukać
trovare,znaleźć
perdere,stracić
prendere,wziąć
dare,dawać
ricevere,otrzymać
portare,przynosić
lasciare,zostawić
mettere,kłaść/wkładać
togliere,zdejmować
tenere,trzymać
chiedere,pytać/prosić
rispondere,odpowiadać
capire,rozumieć
ricordare,pamiętać
dimenticare,zapominać
imparare,uczyć się
insegnare,uczyć
lavorare,pracować
studiare,studiować
viaggiare,podróżować
visitare,odwiedzać
incontrare,spotykać
aspettare,czekać
aiutare,pomagać
mostrare,pokazywać
guardare,patrzeć
sentire,czuć/słyszeć
toccare,dotykać
chiamare,dzwonić/nazywać
rispondere,odpowiadać
telefonare,dzwonić
mandare,wysyłać
ricevere,otrzymywać
preparare,przygotować
cucinare,gotować
lavare,myć
pulire,czyscić
vestire,ubierać
comprare,kupować
ordinare,zamawiać
prenotare,rezerwować
pagare,płacić
mangiare,jeść
bere,pić
assaggiare,próbować
piacere,podobać się
amare,kochać
odiare,nienawidzić
preferire,wolę/preferować
pensare,myśleć
credere,wierzyć
sperare,mieć nadzieję
sentire,czuć
sembrare,wydawać się
sembrare,wyglądać na
provare,próbować
ridere,śmiać się
piangere,płakać
parlare,mówić
raccontare,opowiadać
spiegare,wyjaśniać
mattone,cegła
muro,ściana
pavimento,podłoga
soffitto,sufit
tetto,dach
scala,schody
ascensore,winda
giardino,ogród
albero,drzewo
fiore,kwiat
erba,trawa
foglia,liść
frutto,owoc
seme,nasiono
pianta,roślina
bosco,las
campo,pole
strada,droga
ponte,most
piazza,plac
via,ulica
quartiere,dzielnica
centro,centrum
periferia,przedmieście
stazione,stacja
fermata,przystanek
aeroporto,lotnisko
porto,port
mappa,mapa
direzione,kierunek
destra,prawo
sinistra,lewo
davanti,z przodu
dietro,z tyłu
sopra,na górze
sotto,na dole
vicino,blisko
lontano,daleko
dentro,wewnątrz
fuori,na zewnątrz
sopra,nad
tra,między
con,z
senza,bez
per,dla/przez
da,od/z
di,z
a,do/w
in,w
su,na
prima,przed
dopo,po
durante,podczas
insieme,razem
solo,sam
anche,także
ancora,jeszcze
già,już
quasi,prawie
davvero,naprawdę
forse,może
presto,szybko/wcześnie
tardi,późno
spesso,często
raramente,rzadko
mai,nigdy
sempre,zawsze
perché,dlaczego/ponieważ
come,jak
quando,kiedy
dove,gdzie
chi,kto
cosa,co
quale,który/jaki
quanto,ile
quanti,ilu
questo,to/ten
quello,tamten
questa,ta
quella,tamta
mio,mój
tuo,twoj
suo,jego/jej
nostro,nasz
vostro,wasz
loro,ich
ogni,każdy
alcuni,niektórzy
molti,wielu
pochi,niewielu
tutti,wszyscy
nessuno,nikt
qualcuno,ktoś
qualcosa,coś
altro,inny
stesso,taki sam
colore,kolor
rosso,czerwony
blu,niebieski
verde,zielony
giallo,żółty
nero,czarny
bianco,biały
grigio,szary
marrone,brązowy
rosa,różowy
viola,fioletowy
arancione,pomarańczowy
chiaro,jasny
scuro,ciemny
luce,światło
ombra,cien
fuori,na zewnątrz
dentro,wewnątrz
sopra,na górze
sotto,na dole
vicino,blisko
lontano,daleko
alto,wysoki
basso,niski
calmo,spokojny
rumoroso,głośny
silenzio,cisza
forte,mocny
debole,słaby
bagnato,mokry
asciutto,suchy
dolce,słodki
salato,słony
amaro,gorzki
piccante,ostry
fresco,świeży
vecchio,stary
giusto,właściwy
sbagliato,błędny
vero,prawdziwy
falso,fałszywy
possibile,możliwy
certo,pewny
sicuro,bezpieczny/pewny
pericoloso,niebezpieczny
libero,wolny
occupato,zajęty
pronto,gotowy
necessario,konieczny
utile,użyteczny
inutile,niepotrzebny
famoso,sławny
normale,normalny
speciale,specjalny
semplice,prosty
complicato,skomplikowany
diverso,różny
uguale,taki sam
vero,prawdziwy
falso,fałszywy
buonissimo,bardzo dobry
bellissimo,przepiękny
bravissimo,bardzo dobry
caro,drogi
economico,tani
ricco,bogaty
povero,biedny
nuovo,nowy
moderno,nowoczesny
antico,starożytny
futuro,przyszłość
passato,przeszłość
presente,teraźniejszość
storia,historia
momento,chwila
secondo,sekunda
minuto,minuta
ora,godzina
giornata,dzień (cały)
settimana,tydzień
mese,miesiąc
stagione,porą roku
primavera,wiosna
estate,lato
autunno,jesień
inverno,zima
calendario,kalendarz
data,data
festa,święto
compleanno,urodziny
anno,rok
secolo,wiek
volta,raz
inizio,początek
fine,koniec
mezzo,połowa/środek
metà,połowa
camicia,koszula
maglietta,koszulka
pantaloni,spodnie
jeans,dżinsy
giacca,kurtka/marynarka
cappotto,płaszcz
scarpa,buta
calza,skarpetka
cappello,kapelusz/czapka
vestito,sukienka/ubranie
gonna,spódnica
cintura,pasek
borsa,torebka
portafoglio,portfel
occhiali,okulary
anello,pierścionek
orologio,zegarek
tessuto,materiał
collo,szyja
tasca,kieszeń
bottega,sklep/warsztat
supermercato,supermarket
panetteria,piekarnia
macelleria,sklep mięsny
frutta,owoce
verdura,warzywa
carota,marchewka
patata,ziemniak
pomodoro,pomidor
cipolla,cebula
aglio,czosnek
insalata,sałata
uovo,jajko
pollo,kurczak
manzo,wołowina
maiale,wieprzowina
pesce,ryba
zuppa,zupa
salsa,sos
piatto,talerz/danie
bicchiere,szklanka
tazza,filiżanka
coltello,nóż
forchetta,widelczyk
cucchiaio,łyżka
colazione,śniadanie
pranzo,obiad
cena,kolacja
spuntino,przekąska
fame,głód
sete,pragnienie
gusto,smak
menu,menu
conto,rachunek
tavola,stół
cuoco,kucharz
cameriere,kelner
prenotazione,rezerwacja
servizio,obsługa
mangiare,jeść
cucinare,gotować
friggere,smażyć
bollire,gotować/wrzeć
tagliare,kroić
mescolare,mieszać
riempire,wypełniać
vuotare,opróżniać
pulire,czyścić
sporcare,brudzić
lavare,myć
asciugare,suszyć
aprire,otwierać
chiudere,zamykać
iniziare,zaczynać
aspettare,czekać
scegliere,wybierać
ordinare,zamawiać
servire,podawać
provare,próbować
pagare,płacić
costoso,drogi
economico,tani
fresco,świeży
caldo,gorący
freddo,zimny
buono,dobry
cattivo,zły
famoso,sławny
locale,lokalny
italiano,włoski
polacco,polski
straniero,zagraniczny
lingua,język
parola,słowo
traduzione,tłumaczenie
viaggio,podróż
turista,turysta
turismo,turystyka
valigia,walizka
zaino,plecak
